shortnam,catho80,muslim80,lat_abst,no_cpm80,f_brit,f_french,avexpr,sjlofr,logpgp95,logem4,baseco
POL,81,0,.5777778,18.9,0,0,7.681818,0,8.6552143,,
PRK,0,0,.44444445,100,0,0,,0,,,
PRT,94.099998,0,.43666667,4.8000016,0,0,9.181818,1,9.4894857,,
PRY,96,0,.25555557,2.0999999,0,0,6.9545455,1,8.2079468,4.3579903,1
QAT,1.2,92.400002,.28111109,5.4999986,1,0,7.7272725,1,9.6853313,,
ROM,4.9000001,1.2,.51111114,88.099998,0,0,7.2727275,0,8.387085,,
RUS,1.4,11.3,.66666669,87.300003,0,0,8.454545,0,8.4051437,,
RWA,55.599998,8.6000004,.022222223,24.200001,0,0,,1,6.4769726,5.6347895,
SAU,.1,98.800003,.27777779,.99999696,0,0,7.590909,0,9.2398996,,
SDN,4.4000001,73,.16666667,22.5,1,0,4,0,7.3065314,4.4796071,1
SEN,5.5999999,91,.15555556,3.3000002,0,1,6,1,7.4024515,5.1038828,1
SGP,4.6999998,17.4,.013555556,75.300003,1,0,9.318182,0,10.146434,2.8735647,1
SLE,2.2,39.400002,.092222221,53.599998,1,0,5.818182,0,6.253829,6.1800165,1
SLV,96.199997,0,.15000001,1.400003,0,0,5,1,7.9480319,4.3579903,1
SOM,0,99.800003,.11111111,.19999695,1,0,3,0,,,
STP,92.400002,0,.011111111,5.3999987,0,0,8.409091,1,,,
SUR,36,13,.044444446,14.400002,0,0,4.681818,1,8.0100002,3.4713452,
SVK,74,0,.53777778,17.6,0,0,,0,8.8522358,,
SVN,71.400002,1.5,.51111114,27.099998,0,0,,0,9.3001814,,
SWE,1.4,.1,.68888891,30.099998,0,0,9.5,0,9.8663044,,
SWZ,10.8,.1,.2922222,55.199997,1,0,,0,8.1077204,,
SYR,1.3,89.599998,.3888889,8.9000015,0,1,5.818182,1,8.0294333,,
TCD,21,44,.16666667,23.4,0,1,,1,6.8351846,5.6347895,
TGO,29.299999,17,.088888891,47.599998,0,1,6.909091,1,7.2225661,6.5042882,1
THA,.40000001,3.9000001,.16666667,95.5,0,0,7.6363635,0,8.774931,4.9416423,
TJK,0,85,.43333334,15,0,0,,0,6.8875527,,
TKM,0,87,.44444445,13,0,0,,0,7.6401234,,
TTO,35.799999,6.5,.12222222,44.5,1,0,7.4545455,0,8.7687302,4.4426513,1
TUN,.1,99.400002,.37777779,.49999848,0,1,6.4545455,1,8.4826021,4.1431346,1
